year,neighbourhood,sale_price_sqr_foot,housing_units,gross_rent
2010,Alamo Square,291.1829454723,372560,1239
2010,Anza Vista,267.9325826799,372560,1239
2010,Bayview,170.098665364,372560,1239
2010,Buena Vista Park,347.3949194037,372560,1239
2010,Central Richmond,319.0276225531,372560,1239
2010,Central Sunset,418.172492709,372560,1239
2010,Corona Heights,369.3593380041,372560,1239
2010,Cow Hollow,569.3799679261,372560,1239
2010,Croker Amazon,165.6457300651,372560,1239
2010,Diamond Heights,456.9308221979,372560,1239
2010,Downtown,241.8045520649,372560,1239
2010,Eureka Valley/Dolores Heights,403.1183126491,372560,1239
2010,Excelsior,364.9283357085,372560,1239
2010,Financial District North,401.7499665917,372560,1239
2010,Financial District South,162.8212100477,372560,1239
2010,Forest Knolls,209.0493266347,372560,1239
2010,Glen Park,715.586438098,372560,1239
2010,Golden Gate Heights,551.8011188235,372560,1239
2010,Haight Ashbury,254.4737791447,372560,1239
2010,Hayes Valley,272.2849795639,372560,1239
2010,Hunters Point,170.6249198713,372560,1239
2010,Ingleside,275.0566856099,372560,1239
2010,Inner Mission,238.3500204068,372560,1239
2010,Inner Parkside,199.7020037822,372560,1239
2010,Inner Richmond,285.8223584887,372560,1239
2010,Inner Sunset,275.7697295746,372560,1239
2010,Jordan Park/Laurel Heights,419.8878118765,372560,1239
2010,Lake --The Presidio,320.796910492,372560,1239
2010,Lone Mountain,398.4588759923,372560,1239
2010,Lower Pacific Heights,374.0576360102,372560,1239
2010,Marina,387.3928394769,372560,1239
2010,Miraloma Park,680.6087291389,372560,1239
2010,Mission Bay,489.80537778,372560,1239
2010,Mission Dolores,257.987998635,372560,1239
2010,Mission Terrace,262.8760256406,372560,1239
2010,Nob Hill,307.6774767443,372560,1239
2010,Noe Valley,381.1384451471,372560,1239
2010,Oceanview,282.1196705013,372560,1239
2010,Outer Parkside,432.1952921125,372560,1239
2010,Outer Richmond,338.1261999961,372560,1239
2010,Outer Sunset,368.3115520394,372560,1239
2010,Pacific Heights,496.516014147,372560,1239
2010,Park North,326.0171504103,372560,1239
2010,Parkside,274.1667415867,372560,1239
2010,Parnassus/Ashbury Heights,434.255003946,372560,1239
2010,Portola,302.1561131973,372560,1239
2010,Potrero Hill,491.4500038568,372560,1239
2010,Presidio Heights,549.4179312486,372560,1239
2010,Russian Hill,362.3482239131,372560,1239
2010,South Beach,1037.0997886618,372560,1239
2010,South of Market,401.2959764896,372560,1239
2010,Sunnyside,542.5316819895,372560,1239
2010,Telegraph Hill,524.7935090953,372560,1239
2010,Twin Peaks,331.5559961456,372560,1239
2010,Union Square District,569.1934475268,372560,1239
2010,Van Ness/ Civic Center,108.0129268765,372560,1239
2010,West Portal,392.3007641706,372560,1239
2010,Western Addition,215.5691343149,372560,1239
2010,Yerba Buena,333.1267738419,372560,1239
2011,Alamo Square,272.5273101795,374507,1530
2011,Bayview,172.5405624309,374507,1530
2011,Bernal Heights,471.9217320911,374507,1530
2011,Buena Vista Park,171.7723466866,374507,1530
2011,Central Richmond,261.6638003417,374507,1530
2011,Central Sunset,391.42644973,374507,1530
2011,Clarendon Heights,520.7181675305,374507,1530
2011,Corona Heights,222.5678480477,374507,1530
2011,Cow Hollow,390.5956530284,374507,1530
2011,Croker Amazon,145.8533802759,374507,1530
2011,Diamond Heights,382.3522610641,374507,1530
2011,Downtown,234.2816235104,374507,1530
2011,Duboce Triangle,295.7793782292,374507,1530
2011,Eureka Valley/Dolores Heights,413.1628040343,374507,1530
2011,Financial District North,281.3129043573,374507,1530
2011,Financial District South,354.6655578928,374507,1530
2011,Glen Park,457.4138842976,374507,1530
2011,Golden Gate Heights,348.9297000413,374507,1530
2011,Haight Ashbury,392.3534509733,374507,1530
2011,Hayes Valley,280.7306330939,374507,1530
2011,Ingleside,356.7090091359,374507,1530
2011,Ingleside Heights,198.0158729245,374507,1530
2011,Inner Mission,283.1749507317,374507,1530
2011,Inner Richmond,360.0372724045,374507,1530
2011,Inner Sunset,302.6044894556,374507,1530
2011,Jordan Park/Laurel Heights,610.7666631577,374507,1530
2011,Lake --The Presidio,330.1088943524,374507,1530
2011,Lone Mountain,313.3384582308,374507,1530
2011,Lower Pacific Heights,303.5441997162,374507,1530
2011,Marina,390.8184689562,374507,1530
2011,Miraloma Park,414.676064776,374507,1530
2011,Mission Bay,506.9521745015,374507,1530
2011,Mission Dolores,293.4042461148,374507,1530
2011,Nob Hill,340.6425969784,374507,1530
2011,Noe Valley,373.9786870676,374507,1530
2011,North Beach,290.92103271,374507,1530
2011,North Waterfront,346.9611600156,374507,1530
2011,Outer Mission,142.1425675172,374507,1530
2011,Outer Parkside,241.9456564918,374507,1530
2011,Outer Richmond,271.0901395693,374507,1530
2011,Outer Sunset,297.2455578459,374507,1530
2011,Pacific Heights,509.0214800287,374507,1530
2011,Park North,289.6056000947,374507,1530
2011,Parkside,217.5587868453,374507,1530
2011,Parnassus/Ashbury Heights,466.6178976524,374507,1530
2011,Portola,208.1679967484,374507,1530
2011,Potrero Hill,503.1385045603,374507,1530
2011,Presidio Heights,493.8149172826,374507,1530
2011,Russian Hill,448.3201042149,374507,1530
2011,South Beach,388.6443367815,374507,1530
2011,South of Market,337.9141346437,374507,1530
2011,Sunnyside,437.164299492,374507,1530
2011,Telegraph Hill,483.4057725178,374507,1530
2011,Twin Peaks,284.5669664268,374507,1530
2011,Union Square District,302.1232528097,374507,1530
2011,Van Ness/ Civic Center,384.2368020358,374507,1530
2011,Western Addition,227.4189808649,374507,1530
2011,Westwood Highlands,320.0743330547,374507,1530
2011,Yerba Buena,438.8605450817,374507,1530
2012,Alamo Square,183.0993169315,376454,2324
2012,Anza Vista,344.4909139678,376454,2324
2012,Bayview,165.7980623917,376454,2324
2012,Bernal Heights,368.2665607884,376454,2324
2012,Buena Vista Park,338.6011635105,376454,2324
2012,Central Richmond,279.0301399219,376454,2324
2012,Central Sunset,334.4878725199,376454,2324
2012,Corona Heights,356.7948135909,376454,2324
2012,Cow Hollow,644.8183066759,376454,2324
2012,Croker Amazon,415.0903401096,376454,2324
2012,Diamond Heights,366.9954275113,376454,2324
2012,Downtown,269.1095288136,376454,2324
2012,Duboce Triangle,452.6600224298,376454,2324
2012,Eureka Valley/Dolores Heights,524.8134180835,376454,2324
2012,Excelsior,371.0302152742,376454,2324
2012,Financial District North,286.3519820674,376454,2324
2012,Financial District South,613.8430658201,376454,2324
2012,Forest Knolls,434.6323465133,376454,2324
2012,Haight Ashbury,418.8303793327,376454,2324
2012,Hayes Valley,306.3779578647,376454,2324
2012,Inner Mission,336.8259501845,376454,2324
2012,Inner Richmond,373.4668636471,376454,2324
2012,Inner Sunset,325.8289204182,376454,2324
2012,Jordan Park/Laurel Heights,383.1503960981,376454,2324
2012,Lake --The Presidio,380.5214843069,376454,2324
2012,Lone Mountain,545.9801982413,376454,2324
2012,Lower Pacific Heights,396.1711123916,376454,2324
2012,Marina,445.2150955425,376454,2324
2012,Merced Heights,421.1412447062,376454,2324
2012,Midtown Terrace,397.9391288956,376454,2324
2012,Miraloma Park,756.1923725099,376454,2324
2012,Mission Bay,689.5233123659,376454,2324
2012,Mission Dolores,320.9599230279,376454,2324
2012,Nob Hill,307.7831143985,376454,2324
2012,Noe Valley,428.0219127044,376454,2324
2012,North Beach,517.1734931166,376454,2324
2012,North Waterfront,390.3838567784,376454,2324
2012,Oceanview,442.2426569612,376454,2324
2012,Outer Mission,221.8811387467,376454,2324
2012,Outer Parkside,312.8339843624,376454,2324
2012,Outer Richmond,338.6330117302,376454,2324
2012,Outer Sunset,413.058719352,376454,2324
2012,Pacific Heights,586.2182148098,376454,2324
2012,Park North,288.07851876,376454,2324
2012,Parkside,378.2738784387,376454,2324
2012,Parnassus/Ashbury Heights,515.9210732061,376454,2324
2012,Portola,351.0432256921,376454,2324
2012,Potrero Hill,466.6478402167,376454,2324
2012,Presidio Heights,426.6085920717,376454,2324
2012,Russian Hill,414.1627278969,376454,2324
2012,South of Market,463.8098989044,376454,2324
2012,Telegraph Hill,465.8021216318,376454,2324
2012,Twin Peaks,304.8996476028,376454,2324
2012,Union Square District,445.1967876449,376454,2324
2012,Van Ness/ Civic Center,345.9580403883,376454,2324
2012,West Portal,325.7954150643,376454,2324
2012,Western Addition,274.3384600486,376454,2324
2012,Yerba Buena,491.8140030501,376454,2324
2013,Alamo Square,387.7941437968,378401,2971
2013,Anza Vista,453.3404982987,378401,2971
2013,Bayview,259.5471625931,378401,2971
2013,Bernal Heights,630.8973025514,378401,2971
2013,Buena Vista Park,455.2180887854,378401,2971
2013,Central Richmond,343.054260977,378401,2971
2013,Central Sunset,330.7364310192,378401,2971
2013,Clarendon Heights,453.771604522,378401,2971
2013,Cow Hollow,707.4028088888,378401,2971
2013,Croker Amazon,223.1158329035,378401,2971
2013,Diamond Heights,533.6884470077,378401,2971
2013,Downtown,361.4546919822,378401,2971
